Year,Austria,Belgium,Bulgaria,Republic of Cyprus,Czech Republic,Germany,Denmark,Euro area,Spain,Estonia,Finland,France,United Kingdom,Greece,Croatia,Hungary,Ireland,Italy,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Poland,Portugal,Romania,Slovakia,Slovenia,Sweden
2001,1.94710539424338,1.98280272084908,6.11773279178804,3.66030474513524,4.88928495770533,1.30499491007868,2.51841422592467,3.56752866436165,4.10823240729492,6.80047303674228,3.30338088882533,2.00833418538838,1.50534861378814,3.47475258358807,4.22706054804284,11.0465639891595,6.85968606093488,3.03359202588445,-0.32181060141184,0.790074314583535,2.30250075157525,4.4165248754974,4.18485489972578,3.11976809384629,3.71598281865167,37.9563154083491,5.12148751647621,8.67521845375352,2.48352296605476
2002,1.14559566666318,1.64000779519797,3.84838024147479,0.296405181775867,2.72434939525772,1.37812582409744,2.34764746386243,3.31155638907574,4.08467462706628,4.8576630322936,0.944264297601578,2.0674257413845,2.12273820234752,3.34877089772125,3.84427452124969,8.09150583095244,5.18690351325941,3.27434188043023,0.318656607612212,1.46441111905192,5.07274915115785,2.72574258562197,3.77054132736822,1.85022033112874,4.18978168737745,22.7142690496692,3.93782252221926,7.58168654139426,1.54763939768029
2003,1.30755257860011,1.85008868250355,2.18941022702408,5.38767398576752,1.29272263147209,1.32125352370875,1.48182980917917,3.28748082909414,3.93350333888964,3.88861391039359,0.189923706229408,1.85936824410877,2.39277613949882,3.45357382787522,4.30037855258496,5.43344610640528,3.91173008473453,3.1478079285654,-0.813494503489466,2.1859765845399,5.01810737439072,1.87158470653424,2.17027931585601,0.776035714455617,3.42715372962287,23.1532554708977,5.32528276983089,5.64045104674675,1.70023943467432
2004,1.73971884960345,1.91499094831144,5.58155742621396,2.7092681879025,4.04904531903559,1.11559586662639,2.09573309263418,2.67599044557902,3.88222500847937,4.69046936929665,0.602661249044417,1.62267544006134,2.62009638067519,3.06266213494644,3.62993304143242,5.09107072516386,0.515336738345184,2.67018368106109,2.68179721009696,3.11732659571314,7.06230062105652,2.11317299966606,1.20404059769723,4.91662799719515,2.3996146661088,15.4565958769332,5.73872793064101,3.36094209509122,0.333021897741204
2005,2.53779415754438,2.08307421275387,6.59425858739591,2.01949511307544,0.0949442696762048,0.405207331851614,2.90642404916615,2.38905677782325,4.10099214935586,5.92374959466473,0.928941215438584,1.93634141901367,2.9353281399213,2.24031939810212,3.11591520766548,2.62703094651735,3.0732111743428,2.01055790083582,6.88510859135766,4.8173272087173,11.199010819183,1.93747948245648,1.98873995492572,2.55919550668749,3.33290322756528,12.0069901176313,2.54310499263167,1.52057515263171,0.686383050698964
2006,1.89216106882701,2.26470714433403,6.75647428628594,3.0862300370277,0.654105320869675,0.397281154893903,2.07617957165436,2.99265202625097,3.97962663984784,8.9785794608664,0.920723414612866,2.15532739127715,2.78683364495735,3.49504259415936,3.88021383230324,3.65668643970305,3.41989768083654,2.12485391464755,6.73558515155621,6.45467522017813,12.4335534677998,2.16012423071348,2.56110638417375,1.72842504648365,3.18454265930981,10.6065793571017,2.89907401547424,2.22109087893656,1.75741369074541
2007,2.22117586707647,1.93172111672469,11.0514317081502,4.13820846878632,3.5403818069683,1.77027320694081,2.43228058523555,2.65495885927515,3.41639675931501,12.3583881840857,2.7532807031041,2.5566370154462,2.25251537935698,3.42266701475043,4.27463094970662,5.44367721666583,1.1984880613123,2.47899476586151,8.55458561870641,1.89248054012752,20.0626710169173,2.28400049491218,2.07220572994835,3.71708701568933,2.96634549274198,15.8162274724437,1.1155436660847,4.17748452362763,2.82589323136247
2008,1.95632228093217,1.90884542543854,8.10345623202093,4.73484012051601,2.00958123723267,0.909330422301522,4.13469296938067,2.94765586584585,2.2543271978751,6.80252342949264,3.03723677240961,2.36707384043675,3.40328007531652,4.34458312571454,5.51121441581461,4.80613866757824,-0.504525642239201,2.40070344440197,9.70910857173813,6.60996540521124,11.662247422828,3.23008845482914,2.30632549844012,3.89433845992298,1.73772428812507,16.0155798889218,2.85807495928208,4.46561784391565,3.23523527997193
2009,1.88926417785875,0.533179397971551,3.93801932553089,0.263119072444255,2.58782068092624,1.84189163776318,0.529022254242335,0.701933650744792,0.143775339270547,-0.388681742671537,1.77390522146771,0.0666274760496037,1.89111193473404,2.56977067012491,2.97929430149959,4.1990645514699,-4.62459815527481,1.67883895982297,-3.29603877370516,0.870687903518032,-9.65367579737001,2.02085471582163,0.220701610642962,3.7855516158772,1.09813586372714,4.08677823184487,-1.1612222898941,3.39968089051037,2.35890510051033
2010,0.873054962177932,1.89207786027008,0.76412999957472,1.88028235720469,-1.42531399212487,0.645275771121817,3.224072873962,0.759165366649874,0.153479379550461,1.82235230425346,0.322930666499261,1.06969747621216,1.58374132668224,-0.177480870585185,0.929245868909916,2.53257045300049,-2.88983629770622,0.436360537541674,2.53348366045552,4.64841846238745,-0.360646954976275,3.16569469553374,0.940413731811219,1.5633507717248,0.642290869101615,5.91030034291626,0.532696333414776,-1.02931788544865,0.947565418694609
